Corporation;52WeekLow;52WeekHigh;ShortRatio;ShortPercent;PriceToEarningsRatio;PriceToBookRatio;ShareYield;50DayMovingAverage;200DayMovingAverage;Country;OperativeMarge;BETA;EmployeeCount
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#FootLocker,Inc;17.0802;43.07;2.85;0.439;12.689;1.5553;0.0148;40.0588;34.2387;United States;0.0434;1.2493;15589
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#NewmontCorporation;32.5157;71.4657;1.03;0.5;18.8215;2.1441;0.0267;60.4553;62.93899999999999;United States;0.2573;0.1617;16600
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#EatonCorporationPlc;54.5898;123.67;1.54;0.6728;35.3041;3.2511;0.0243;117.6915;103.8116;Ireland;0.0998;1.1543;92000
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#PPLCorporation;17.3603;34.8211;2.16;0.7004;14.002;1.5106;0.0589;28.3791;27.5424;United States;0.4051;0.7465;12280
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#HexcelCorporation;24.54;80.3063;5.61;0.1318;32.8746;2.7182;0.0219;50.3141;42.1856;United States;0.0991;1.5123;6977
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#TheKrogerCo;26.1604;37.0101;5.6;0.2105;8.5011;2.3838;0.0227;31.7044;33.4062;United States;0.028999999999999998;0.337;500000
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#Group1Automotive,Inc;26.1902;136.013;13.84;0.0389;10.3734;1.651;0.0092;122.8718;99.4736;United States;0.0428;2.1344;15296
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#FlowersFoods,Inc;16.977;24.916999999999998;8.83;0.6529;49.1957;3.6262;0.0354;22.5194;23.2869;United States;0.0808;0.34700000000000003;9700
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#Greif,Inc;22.474;51.9612;2.05;0.5466;21.5214;2.4186;0.0537;49.1859;40.4277;United States;0.0881;1.2184;16000
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#EdisonInternational;41.6584;75.3632;3.06;0.6002;65.3015;1.7122;0.0422;62.8418;56.7264;United States;0.2065;0.536;12937
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#Alexander's,Inc;215.1026;330.68800000000005;5.01;2.4292;37.7827;6.6306;0.0643;268.3221;257.8359;United States;0.3767;0.5879;69
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#GildanActivewearInc;9.42;30.0728;8.92;0.0;23.4242;3.7926;0.0382;26.8721;21.0192;Canada;0.0069;1.6881;45000
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#LearCorporation;63.1003;165.67;1.89;0.2383;88.0077;2.3131;0.0063;151.9703;125.7599;United States;0.037000000000000005;1.6121;164100
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#ITTInc;35.1247;79.63;2.19;0.2126;43.7365;3.3121;0.0088;75.1191;64.5096;United States;0.1336;1.558;10500
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#RockwellAutomation,Inc;113.7435;266.2625;3.15;0.5378;28.5986;28.1024;0.0171;247.7412;231.9108;United States;0.1705;1.39;23500
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#ValvolineInc;8.9083;23.75;4.16;0.3135;13.6923;0.0;0.0214;22.9703;20.9879;United States;0.2265;1.4227;8800
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#MarathonOilCorporation;3.0034;13.8678;1.47;0.0;17.2813;0.4805;0.0363;6.3647;5.4062;United States;-0.171;3.4073;2000
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#RPMInternationalInc;42.2369;98.35;2.65;0.5214;31.1852;7.9786;0.0167;88.5447;84.0495;United States;0.1146;1.0173;14600
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#Mack-CaliRealtyCorporation;10.35;23.2461;13.57;0.4444;7.2956;0.8622;0.0622;13.3832;13.4225;United States;-0.0508;1.0882;283
