issuer;shortRatioAmount;betaAmount;shortPercentAmount;lowAmount;highAmount;Low-High-Ratio;cluster
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#VornadoRealtyTrust;5.91;1.4231;0.4928;26.3082;65.1994;0.4035037132243549;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#KinderMorgan,Inc;1.59;1.074;1.179;8.8901;21.3099;0.4171816855076749;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#NutrienLtd;3.76;0.7529;1.0909;22.701;50.3252;0.4510861357729328;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#BoydGamingCorporation;4.6;2.2173;0.2561;6.44;43.81;0.14699840219128052;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#HollyEnergyPartners,L.P;1.8;1.1354;1.0971;6.0617;22.0455;0.2749631444058878;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#EastGroupProperties,Inc;2.78;0.7444;0.5844;81.2934;152.3726;0.5335171809104786;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#LambWestonHoldings,Inc;2.96;0.7704;0.6715;38.6325;95.266;0.4055224319274453;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#Parker-HannifinCorporation;1.65;1.7554;0.3177;91.7067;280.29;0.3271850583324414;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#FlexLNGLtd;2.32;0.3912;0.9091;3.3559;10.3676;0.32369111462633593;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#AMETEK,Inc;1.69;1.3696;0.1823;54.5277;121.4986;0.4487928255963444;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#DeluxeCorporation;7.72;1.6105;0.212;18.229;47.6693;0.3824054475312203;0
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#AvalonBayCommunities,Inc;2.62;0.9906;1.3677;114.5535;222.3792;0.5151268643829998;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#BigLots,Inc;5.77;2.4871;0.1676;9.6404;56.489;0.17065977446936573;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#SMEnergyCompany;1.32;6.6063;0.0;0.8886;12.243;0.0725802499387405;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#SensientTechnologiesCorporation;4.02;0.969;0.5552;37.405;75.3;0.4967463479415671;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#TheMacerichCompany;10.5;2.0231;0.5683;4.252;22.6002;0.18813992796523926;0
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#AmericanHomes4Rent;2.05;0.5622;0.7407;17.4365;32.04;0.5442103620474407;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#ConsolidatedEdison,Inc;3.37;0.1139;0.7116;60.1839;91.833;0.6553624514063572;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#VoyaFinancial,Inc;11.82;1.4735;0.5882;29.4945;62.958;0.4684789859906605;0
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#AgnicoEagleMinesLimited;0.94;0.6373;0.609;30.6581;88.7477;0.34545233284918936;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21_nyse_data#Tapestry,Inc;1.73;1.3286;0.2909;10.18;31.65;0.3216429699842022;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#Brown-FormanCorporation;1.14;0.7895;0.3657;44.3638;82.1251;0.5401978201548613;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#Brown-FormanCorporation;4.25;0.7895;0.3657;44.3638;82.1251;0.5401978201548613;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#Brown-FormanCorporation;1.14;0.7895;0.3658;44.3638;82.1251;0.5401978201548613;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#Brown-FormanCorporation;4.25;0.7895;0.3658;44.3638;82.1251;0.5401978201548613;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#Brown-FormanCorporation;1.14;0.7895;0.3657;40.7114;82.1251;0.4957242061196881;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#Brown-FormanCorporation;4.25;0.7895;0.3657;40.7114;82.1251;0.4957242061196881;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#Brown-FormanCorporation;1.14;0.7895;0.3658;40.7114;82.1251;0.4957242061196881;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#Brown-FormanCorporation;4.25;0.7895;0.3658;40.7114;82.1251;0.4957242061196881;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#Brown-FormanCorporation;1.14;0.7895;0.3657;44.3638;83.01;0.5344392241898566;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#Brown-FormanCorporation;4.25;0.7895;0.3657;44.3638;83.01;0.5344392241898566;1
http://www.semanticweb.org/sp21/ontologies/2020/11/ontologysp21#Brown-FormanCorporation;1.14;0.7895;0.3658;44.3638;83.01;0.5344392241898566;1
